Row_Number,Name,Distance,Mass,Radius,Gravity
0,Sun,1.5813e-05,1.989e+30,695700000.0,274.2691614595739
1,Sirius,8.6,4.1769000000000005e+30,1189647000.0,196.971799550325
2,Canopus,310.0,2.9835e+31,49394700000.0,0.8161153386021839
3,Alpha Centauri,4.4,2.1879e+30,834840000.0,209.51116500384123
4,Arcturus,37.0,2.1879e+30,18088200000.0,0.4462959727892475
5,Vega,25.0,4.3758e+30,1878390000.0,82.76984296448046
6,Capella,43.0,5.1714e+30,8348400000.0,4.952082081908975
7,Rigel,860.0,4.574699999999999e+31,54890730000.00001,1.01332978543217
8,Procyon,11.4,2.9835000000000004e+30,1321830000.0,113.9622554541166
9,Betelgeuse,640.0,3.978e+31,660915000000.0,0.0060779869575528
10,Achernar,144.0,1.3326300000000001e+31,6470010000.000001,21.246425965766505
11,Hadar,390.0,2.0884500000000003e+31,5983020000.0,38.937617567949246
12,Altair,17.0,3.5802e+30,1252260000.0,152.37175636643
13,Acrux,320.0,3.5802e+31,6191730000.0,62.32603088337749
14,Aldebaran,65.0,2.9835000000000004e+30,30610800000.0,0.21250193294905
15,Antares,600.0,2.3868e+31,473076000000.0,0.007117711802584
16,Spica,260.0,2.273427e+31,5196879000.0,56.18003500809001
17,Pollux,34.0,3.7791e+30,6122160000.000001,6.729227876719917
18,Fomalhaut,25.0,3.7791e+30,1252260000.0,160.83685394234274
19,Deneb,2600.0,3.7791e+31,141227100000.0,0.126455727334609
20,Mimosa,350.0,3.1824e+31,5843880000.0,62.19255361895101
21,Regulus,77.0,7.558199999999999e+30,2156670000.0,108.45190567600218
22,Adhara,430.0,2.48625e+31,9739800000.0,17.491655705329972
23,Shaula,700.0,2.8840500000000003e+31,6122160000.000001,51.354633796020416
24,Castor,52.0,5.569200000000001e+30,1669680000.0,133.32528682062622
25,Gacrux,88.0,2.9835000000000004e+30,58438800000.0,0.0583055190177665
26,Bellatrix,240.0,1.7105399999999998e+31,4035060000.0,70.11637302474244
27,Elnath,130.0,9.945000000000001e+30,2921940000.0,77.74069202368875
28,Miaplacidus,110.0,6.9615e+30,4730760000.0,20.75999275753696
29,Alnilam,20.0,6.3648e+31,29219400000.0,4.975404289516081
30,Gamma Velorum,1100.0,1.7900999999999998e+31,4174200000.0,68.56729036489348
31,Alnair,101.0,7.956e+30,2365380000.0,94.90282403445464
32,Alioth,81.0,5.768100000000001e+30,2921940000.0,45.08960137373948
33,Alnitak,1050.0,6.5637e+31,13914000000.0,22.62720582041485
34,Dubhe,120.0,8.453249999999999e+30,20871000000.0,1.2951599291146547
35,Mirfak,590.0,1.69065e+31,47307600000.0,0.5041712526830403
36,Wezen,1600.0,3.3813e+31,139140000000.0,0.1165643936203189
37,Sargas,270.0,1.13373e+31,18088200000.0,2.3126245862715558
38,Kaus Australis,140.0,6.9615e+30,4730760000.0,20.75999275753696
39,Avior,630.0,1.7900999999999998e+31,90441000000.0,0.1460605001855719
40,Alkaid,104.0,1.2132899999999998e+31,2365380000.0,144.72680665254333
41,Menkalinan,81.0,4.75371e+30,1927089000.0,85.43097080483021
42,Atria,390.0,1.3923e+31,64004400000.0,0.2268294104698744
43,Alhena,109.0,5.569200000000001e+30,2295810000.0,70.51915997124031
44,Peacock,180.0,1.17351e+31,3339360000.0,70.23385645015131
45,Alsephina,80.0,4.7736e+30,2017530000.0,78.26943965552644
46,Mirzam,500.0,2.68515e+31,6957000000.0,37.02633679704248
47,Polaris,430.0,1.07406e+31,27132300000.0,0.9737366679038127
48,Alphard,180.0,5.967e+30,34785000000.0,0.3291229937514887
49,Mintaka,1200.0,4.7736e+31,11479050000.0,24.17799770442525
50,Scheat,196.0,4.1769000000000005e+30,66091500000.0,0.0638188630543053
51,Almaaz,653.0,2.9835e+31,97398000000.0,0.2098998684639596
52,Rasalgethi,360.0,5.569200000000001e+30,194796000000.0,0.0097953271949847
53,Tau Ceti,11.9,1.557387e+30,621260100.0,269.29967110479345
54,Delta Pavonis,19.92,1.971099e+30,848754000.0,182.61269753187165
55,Ran,10.48,1.6309799999999997e+30,514818000.0,410.7025427261698
56,V382 Carinae,8900.0,3.978e+31,337414500000.0,0.0233197288944265
57,Eta Carinae,7500.0,1.9889999999999997e+32,41742000000.0,7.618587818321498
58,Delta Cephei,887.0,8.950499999999999e+30,30958650000.0,0.6232603088337748
59,Mu Cephei,60.0,3.81888e+31,676220400000.0,0.0055737267989549
60,Titawin,44.25,2.5260300000000002e+30,1029636000.0,159.02202111653529
61,Rho Cassiopeiae,8154.0,4.3758e+31,442465200000.0,0.0149171352797323
62,P Cygni,5545.0,5.967e+31,52873200000.0,1.4245281931764575
63,VV Cephei,4900.0,3.6199800000000003e+31,358981200000.0,0.0187477417919755
64,61 Cygni,11.41,1.3923000000000002e+30,462640500.0,434.1419255394918
65,R Doradus,178.0,1.3923000000000002e+30,207318600000.0,0.0021619342937446
66,Polaris Australis,281.0,3.1625100000000005e+30,2601918000.0,31.17675417660804
67,R Coronae Borealis,4566.0,1.6906499999999995e+30,59134500000.0,0.0322669601717145
68,54 Piscium,36.1,1.5116400000000002e+30,653958000.0,235.9037604224493
69,Mira,300.0,2.3868e+30,257409000000.0,0.0024041124452263
70,RW Cephei,140.0,2.76471e+31,805620600000.0,0.0028429856016179
71,Lacaille 8760,12.87,1.1934e+30,354807000.0,632.685493563031
72,II Pegasi,130.0,1.5912e+30,2365380000.0,18.98056480689093
73,VY Canis Majoris,3900.0,3.3813e+31,987894000000.0,0.0023123267927061
74,Pistol Star,250.0,1.9889999999999997e+32,222624000000.0,0.2678409779878652
75,S Doradus,1690.0,4.7736e+31,264366000000.0,0.0455849021816466
76,UY Scuti,5100.0,1.3923e+31,525253500000.0,0.0033680700499399
77,Barnard's Star,5.98,2.7846000000000004e+29,139140000.0,959.9420651085088
78,Proxima Centauri,4.25,2.3868000000000002e+29,104355000.0,1462.7688611177275
79,KIC 8462852,1470.0,2.8442700000000003e+30,1099206000.0,157.1081961573429
80,R136a1,1630.0,5.7681e+32,22262400000.0,77.6738836164809
81,Melnick 42,1630.0,3.75921e+32,14679270000.000002,116.4324060911917
82,WR 102,18134.0,3.7791e+31,271323000.0,34261.10498180082
83,VFTS 352,1640.0,1.1432771999999998e+32,10066779000.0,75.29335961731137
84,YBP 1194,2772.0,2.0088900000000002e+30,688743000.0,282.6363157577489
85,Gliese 1214,47.5,3.1824e+29,146097000.0,995.0808579032164
86,NML Cygni,5251.0,9.945e+31,1140948000000.0,0.0050986979747838
87,VB 10,18.72,1.49175e+29,69570000.0,2057.0187109468043
88,WOH G64,1630.0,3.978e+31,1071378000000.0,0.0023129462089692
89,TRAPPIST-1,39.6,1.7702099999999997e+29,83484000.0,1695.1357895765332
90,2MASS J0523-1403,40.3,1.3923000000000002e+29,59830199.99999999,2595.841171196618
91,SDSS J000013.54+255418.6,46.1,9.810989136e+30,657465.802884,1514790804.2209277
92,2MASS J00040288-6410358,192.0,3.883516533e+30,1082494.200708,221187308.49487573
93,2MASS J00242463-0158201,37.7,1.6147252952999995e+31,723876.4900440001,2056628771.956232
94,2MASS J00274197+0503417,236.0,6.336263816999999e+30,956313.895104,462400741.0996664
95,2MASSW J0030300-145033,87.2,1.1037362777999998e+31,650824.7341679999,1739095455.6633153
96,2MASS J00332386-1521309,131.0,5.927472602999999e+30,949672.826388,438639496.93231744
97,2MASS J00345157+0523050,31.0,8.584615494e+30,624260.459304,1470196535.5532086
98,2MASS 0036+1821,28.6,8.584615494e+30,624260.459304,1470196535.5532086
99,2MASSW J0045214+163445,57.0,4.701098961e+30,1075853.1319920002,271068853.4045037
100,WISEP J004701.06+680352.1,40.0,2.452747284e+30,863338.9330800001,219622258.46404305
101,2MASS J00501994-3322402,34.0,8.175824279999999e+30,624260.459304,1400187176.7173412
102,2MASS J00584253-0651239,96.0,5.927472602999999e+30,949672.826388,438639496.93231744
103,2MASSI J0103320+193536,70.0,1.0628571563999995e+31,650824.7341679999,1674684512.86097
104,SDSSp J010752.33+004156.1,51.0,1.0628571563999995e+31,650824.7341679999,1674684512.86097
105,2MASSI J0117474-340325,163.0,4.0879121399999993e+30,1075853.1319920002,235712046.4386988
106,2MASS J01415823-4633574,130.0,4.0879121399999993e+30,1069212.063276,238649239.87258255
107,SDSS J015141.69+124429.6,70.0,9.606593529e+30,644183.665452,1545027455.0783772
108,SDSS J020742.48+000056.2,111.0,9.606593529e+30,644183.665452,1545027455.0783772
109,2MASS J02103857-3015313,101.0,3.065934105e+30,1016083.513548,198193866.03669143
110,2MASS J02340093-6442068,155.0,4.0879121399999993e+30,1075853.1319920002,235712046.4386988
